epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,275.687,1.76924,1.88221,2.22925,0.39553,0.4057,0.37914,0.22592,0,0.2154,1.73261,1.79724,2.20416,0.000885531,0.000885531,0.000885531
39,283.172,1.75243,1.83104,2.15281,0.57254,0.41124,0.42822,0.23457,0,0.22825,1.66703,1.77251,2.13926,0.000882437,0.000882437,0.000882437
40,290.579,1.71571,1.79281,2.12807,0.51319,0.4645,0.43851,0.27151,0,0.24316,1.67939,1.78779,2.16472,0.000879344,0.000879344,0.000879344
41,297.788,1.71616,1.80382,2.12005,0.53663,0.57504,0.52296,0.24111,0.00625,0.25739,1.72611,1.72746,2.1757,0.00087625,0.00087625,0.00087625
42,304.91,1.70698,1.74888,2.11397,0.52629,0.52513,0.51329,0.27498,0,0.26357,1.65171,1.72442,2.10108,0.000873156,0.000873156,0.000873156
43,311.889,1.64592,1.74008,2.08198,0.5097,0.46189,0.49427,0.25811,0.00027,0.28012,1.59293,1.66213,2.0986,0.000870063,0.000870063,0.000870063
44,320.028,1.7694,1.79622,2.15734,0.50306,0.49289,0.52057,0.33769,0.00119,0.2985,1.70577,1.64247,2.17022,0.000866969,0.000866969,0.000866969
45,327.899,1.65972,1.70108,2.10198,0.65497,0.45561,0.50247,0.31334,0.00142,0.29454,1.60787,1.64296,2.09308,0.000863875,0.000863875,0.000863875
46,336.002,1.57376,1.67469,2.01904,0.50608,0.5131,0.50045,0.29753,0.00022,0.28618,1.58095,1.64427,2.06192,0.000860781,0.000860781,0.000860781
47,343.343,1.68314,1.72947,2.12631,0.58253,0.51624,0.52745,0.29181,0.00033,0.27936,1.52999,1.56888,2.05324,0.000857687,0.000857687,0.000857687
48,350.613,1.62732,1.66959,2.05862,0.61407,0.4255,0.54183,0.32503,0,0.28333,1.58935,1.58218,2.11361,0.000854594,0.000854594,0.000854594
49,358.45,1.64506,1.66694,2.03549,0.40851,0.54329,0.4738,0.29654,0.00238,0.27216,1.53371,1.64492,2.02626,0.0008515,0.0008515,0.0008515
50,366.189,1.63175,1.6494,2.04815,0.47707,0.46095,0.45964,0.19119,0.00097,0.23857,1.67348,1.55999,2.14065,0.000848406,0.000848406,0.000848406
51,373.868,1.62442,1.65525,2.09131,0.48188,0.56696,0.54569,0.29634,0.00086,0.29661,1.66198,1.59521,2.11331,0.000845313,0.000845313,0.000845313
52,381.344,1.55833,1.65404,2.04709,0.61309,0.57166,0.54429,0.34329,0,0.31529,1.5834,1.54069,2.06953,0.000842219,0.000842219,0.000842219
53,388.549,1.56591,1.65786,2.00642,0.63985,0.45969,0.5308,0.28924,0,0.29004,1.66279,1.62823,2.11044,0.000839125,0.000839125,0.000839125
54,395.499,1.57307,1.61985,2.00017,0.67815,0.36751,0.45119,0.23342,0.00069,0.22659,1.65501,1.7582,2.11044,0.000836031,0.000836031,0.000836031
55,402.256,1.61009,1.68552,2.07704,0.66096,0.45692,0.50629,0.21284,0.00137,0.2564,1.67216,1.64019,2.11182,0.000832938,0.000832938,0.000832938
56,409.451,1.55427,1.62732,2.01742,0.63803,0.51263,0.60199,0.36314,0,0.35179,1.6213,1.50542,2.07381,0.000829844,0.000829844,0.000829844
57,416.922,1.50206,1.61598,1.98313,0.67551,0.5971,0.61167,0.36378,0,0.34994,1.60676,1.49321,2.06916,0.00082675,0.00082675,0.00082675
58,424.533,1.55323,1.591,1.99619,0.44508,0.6171,0.51902,0.23198,0.00016,0.28244,1.56428,1.60852,2.03643,0.000823656,0.000823656,0.000823656
59,432.249,1.54986,1.55297,1.95424,0.53061,0.48216,0.52303,0.34046,0,0.30943,1.51693,1.55352,1.97761,0.000820563,0.000820563,0.000820563
60,440.092,1.5186,1.55433,1.97757,0.69292,0.56922,0.60551,0.46842,0.00038,0.37286,1.47681,1.47549,1.95759,0.000817469,0.000817469,0.000817469
61,447.442,1.52097,1.56178,1.96287,0.66333,0.55386,0.59135,0.46388,0.00416,0.38672,1.44142,1.35958,1.93059,0.000814375,0.000814375,0.000814375
62,454.548,1.53247,1.55516,2.00165,0.54129,0.68197,0.64205,0.42106,0.00016,0.36639,1.55162,1.43292,2.02813,0.000811281,0.000811281,0.000811281
63,462.075,1.50736,1.52131,1.91563,0.54737,0.64886,0.61994,0.39581,0,0.34837,1.49848,1.45497,1.95059,0.000808188,0.000808188,0.000808188
64,469.861,1.46927,1.51554,1.93265,0.61607,0.55682,0.58108,0.32419,0,0.32911,1.47889,1.5265,1.95271,0.000805094,0.000805094,0.000805094
65,477.667,1.51083,1.50933,1.93198,0.58678,0.55595,0.58678,0.32593,0.00104,0.33388,1.48829,1.4811,1.97221,0.000802,0.000802,0.000802
66,485.649,1.45141,1.48257,1.86576,0.5977,0.55145,0.57112,0.39452,0,0.3479,1.4636,1.47591,1.95644,0.000798906,0.000798906,0.000798906
67,493.025,1.39083,1.45383,1.85596,0.68457,0.59465,0.61782,0.45711,0.00389,0.39749,1.39069,1.4283,1.88704,0.000795812,0.000795812,0.000795812
68,500.738,1.37945,1.37148,1.83763,0.48986,0.63548,0.61438,0.42987,0.00196,0.38331,1.42652,1.43758,1.92904,0.000792719,0.000792719,0.000792719
69,508.602,1.45693,1.43852,1.91808,0.43976,0.5706,0.54078,0.41374,0.00126,0.33404,1.47468,1.49132,1.98701,0.000789625,0.000789625,0.000789625
70,516.558,1.42185,1.42849,1.87993,0.54824,0.54574,0.59496,0.40055,0.00057,0.35609,1.51375,1.4324,2.04085,0.000786531,0.000786531,0.000786531
71,523.849,1.38303,1.39207,1.84778,0.56758,0.59912,0.61364,0.45752,0.00141,0.39348,1.39497,1.37677,1.91134,0.000783438,0.000783438,0.000783438
72,530.949,1.43251,1.39826,1.85757,0.55835,0.65503,0.66405,0.43331,0.00686,0.40847,1.42855,1.42804,1.91538,0.000780344,0.000780344,0.000780344
73,538.625,1.3732,1.33296,1.84319,0.6965,0.57994,0.67126,0.4357,0.00307,0.40448,1.55686,1.41184,2.01361,0.00077725,0.00077725,0.00077725
74,546.189,1.39939,1.40675,1.81517,0.56502,0.66236,0.62787,0.38633,0.0089,0.37745,1.48184,1.38149,1.96994,0.000774156,0.000774156,0.000774156
75,554.067,1.41581,1.39111,1.87815,0.69189,0.58245,0.64044,0.41892,0.00968,0.38978,1.45109,1.41407,1.9251,0.000771063,0.000771063,0.000771063
76,561.462,1.43074,1.33638,1.86709,0.68192,0.58966,0.6336,0.40334,0,0.37498,1.47604,1.4267,1.94388,0.000767969,0.000767969,0.000767969
77,569.073,1.36073,1.32938,1.8159,0.80899,0.54182,0.62298,0.39034,0.00035,0.37326,1.42613,1.45569,1.94193,0.000764875,0.000764875,0.000764875
78,576.348,1.35741,1.37037,1.81971,0.84339,0.54838,0.66837,0.47911,0.00082,0.42238,1.39159,1.27821,1.87443,0.000761781,0.000761781,0.000761781
79,584.038,1.37559,1.42571,1.80329,0.67956,0.60537,0.62232,0.40507,0.00019,0.37533,1.37222,1.27744,1.84797,0.000758687,0.000758687,0.000758687
80,592.082,1.36324,1.32353,1.79814,0.78165,0.58751,0.64988,0.44117,0.00236,0.40188,1.3913,1.26979,1.82821,0.000755594,0.000755594,0.000755594
81,599.769,1.32097,1.31613,1.76478,0.70087,0.58903,0.64254,0.50461,0.00417,0.40992,1.35407,1.28504,1.80915,0.0007525,0.0007525,0.0007525
82,607.253,1.34079,1.30114,1.75657,0.75568,0.51361,0.65294,0.44013,0.00042,0.3945,1.38632,1.26852,1.85821,0.000749406,0.000749406,0.000749406
83,614.545,1.41781,1.38484,1.80796,0.62653,0.62759,0.66466,0.5031,0,0.41612,1.39591,1.17442,1.83819,0.000746313,0.000746313,0.000746313
84,622.207,1.33919,1.36565,1.77946,0.73298,0.58557,0.65841,0.39045,0,0.38869,1.49847,1.20773,1.93797,0.000743219,0.000743219,0.000743219
85,629.948,1.28923,1.2503,1.73082,0.605,0.67799,0.67885,0.45353,0.00198,0.42219,1.45778,1.28275,1.89881,0.000740125,0.000740125,0.000740125
86,637.535,1.32502,1.26781,1.7673,0.67699,0.60431,0.61964,0.47674,0,0.40222,1.41125,1.37586,1.87423,0.000737031,0.000737031,0.000737031
87,645.62,1.30839,1.37314,1.74342,0.65904,0.61967,0.65344,0.51858,0.00178,0.40677,1.34919,1.32042,1.82259,0.000733937,0.000733937,0.000733937
88,653.241,1.23342,1.26675,1.72812,0.84572,0.54036,0.67038,0.50336,0.0008,0.43262,1.4187,1.2932,1.86818,0.000730844,0.000730844,0.000730844
89,660.569,1.26979,1.27382,1.7497,0.77683,0.65165,0.69805,0.5563,0.00347,0.45757,1.35272,1.1604,1.83502,0.00072775,0.00072775,0.00072775
90,667.824,1.27934,1.32757,1.74057,0.75004,0.54474,0.70129,0.55906,0.00083,0.46299,1.33941,1.20487,1.85518,0.000724656,0.000724656,0.000724656
91,675.193,1.20768,1.21203,1.67522,0.70465,0.57486,0.65887,0.47385,0.01894,0.41642,1.37027,1.19051,1.87986,0.000721562,0.000721562,0.000721562
92,682.988,1.23474,1.25141,1.68357,0.85407,0.54814,0.70542,0.53052,0.00199,0.4306,1.36075,1.21889,1.86113,0.000718469,0.000718469,0.000718469
93,690.723,1.26605,1.24076,1.70004,0.84471,0.65942,0.70734,0.55816,0.00975,0.44825,1.34255,1.20346,1.8483,0.000715375,0.000715375,0.000715375
