epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1649.09,1.43771,1.80724,1.9273,0.60568,0.45337,0.5038,0.2775,0.02465,0.29454,1.79393,1.85882,2.36201,0.000888625,0.000888625,0.000888625
38,1712.84,1.40936,1.79686,1.88688,0.57,0.49867,0.50516,0.30027,0.00582,0.29943,1.72343,1.87637,2.26933,0.000885531,0.000885531,0.000885531
39,1778.06,1.4093,1.78659,1.88913,0.5585,0.46806,0.48519,0.27925,0.03191,0.28527,1.78147,1.94476,2.3518,0.000882437,0.000882437,0.000882437
40,1842.21,1.39999,1.77584,1.89708,0.62858,0.50116,0.55754,0.33361,0.02448,0.32886,1.73448,1.78147,2.27834,0.000879344,0.000879344,0.000879344
41,1908.1,1.42805,1.78475,1.89809,0.47933,0.48857,0.47992,0.26462,0.00469,0.26847,1.78454,1.9387,2.35141,0.00087625,0.00087625,0.00087625
42,1969.38,1.42473,1.76228,1.90672,0.53813,0.50301,0.49855,0.30858,0.05196,0.30058,1.75784,1.99273,2.32431,0.000873156,0.000873156,0.000873156
43,2035.58,1.40365,1.71977,1.89267,0.57902,0.51294,0.5349,0.32841,0.01502,0.31615,1.75053,1.90802,2.31014,0.000870063,0.000870063,0.000870063
44,2099.99,1.38834,1.74161,1.86156,0.52019,0.51848,0.52357,0.29019,0.01841,0.29598,1.73594,1.82763,2.27564,0.000866969,0.000866969,0.000866969
45,2156.19,1.39264,1.70775,1.88212,0.48988,0.4869,0.46854,0.2391,0.00084,0.25025,1.83936,1.89284,2.39467,0.000863875,0.000863875,0.000863875
46,2221.74,1.36535,1.68866,1.85165,0.61384,0.52062,0.53856,0.32567,0.0237,0.31837,1.75931,1.79979,2.32053,0.000860781,0.000860781,0.000860781
47,2288.01,1.37956,1.70667,1.86896,0.50891,0.53923,0.53573,0.30771,0.01252,0.31724,1.72709,1.8535,2.29149,0.000857687,0.000857687,0.000857687
48,2352.39,1.35713,1.69139,1.84834,0.52589,0.53957,0.50777,0.3033,0.00031,0.30208,1.74634,1.8901,2.35065,0.000854594,0.000854594,0.000854594
49,2415,1.3735,1.67828,1.85822,0.52675,0.50665,0.51885,0.29627,0.02826,0.31282,1.77552,1.79661,2.33717,0.0008515,0.0008515,0.0008515
50,2472.58,1.37372,1.69502,1.86191,0.68288,0.50093,0.5302,0.29942,0.01845,0.30147,1.74535,1.77598,2.3118,0.000848406,0.000848406,0.000848406
